,stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
0,00016.HK,31/12/2018,23/12/2019,30/11/2020,30/11/2021,06/10/2022,04/10/2023,
1,00315.HK,24/12/2018,29/12/2019,28/12/2020,30/11/2021,30/11/2022,26/09/2023,
2,01079.HK,22/12/2017,29/11/2018,04/12/2019,08/12/2020,23/11/2021,27/10/2022,27/10/2023
3,00717.HK,27/12/2018,09/01/2020,06/01/2021,28/01/2022,19/01/2023,,
4,00659.HK,21/12/2017,17/12/2018,18/12/2019,22/10/2020,20/10/2021,,17/10/2023
5,06169.HK,20/12/2017,28/12/2018,19/02/2020,24/03/2021,31/01/2022,23/03/2023,27/12/2023
6,00825.HK,20/12/2017,19/12/2018,30/12/2019,31/12/2020,29/11/2021,26/10/2022,20/10/2023
7,03998.HK,27/09/2018,16/10/2019,12/10/2020,31/08/2021,22/07/2022,26/07/2023,
8,00225.HK,12/12/2017,,,,,,
9,02309.HK,05/12/2017,03/12/2018,05/11/2019,30/10/2020,26/11/2021,26/10/2023,
10,08013.HK,01/12/2017,30/11/2018,27/11/2019,25/11/2020,29/11/2021,29/11/2022,30/11/2023
11,00333.HK,30/11/2017,30/11/2018,23/09/2019,14/10/2020,12/10/2021,15/11/2022,30/10/2023
12,00331.HK,30/11/2018,29/11/2019,30/11/2020,29/11/2021,29/11/2022,25/10/2023,
13,08093.HK,27/11/2017,12/11/2018,12/11/2019,12/11/2020,30/12/2021,13/02/2023,29/09/2023
14,00862.HK,27/11/2017,12/12/2018,13/12/2019,16/12/2020,29/11/2021,30/11/2022,19/10/2023
15,02698.HK,09/07/2018,12/07/2019,03/07/2020,28/05/2021,30/05/2022,14/04/2023,
16,00737.HK,19/12/2018,14/06/2019,24/06/2020,25/05/2021,24/03/2022,18/04/2023,
17,00122.HK,15/11/2018,14/11/2019,12/11/2020,18/11/2021,03/11/2022,17/11/2023,
18,00488.HK,15/11/2017,21/11/2018,20/11/2019,18/11/2020,17/11/2021,16/11/2022,16/11/2023
19,00191.HK,15/11/2017,21/11/2018,20/11/2019,18/11/2020,17/11/2021,16/11/2022,16/11/2023
20,00571.HK,15/11/2017,21/11/2018,20/11/2019,18/11/2020,17/11/2021,16/11/2022,16/11/2023
21,01125.HK,15/11/2017,21/11/2018,20/11/2019,18/11/2020,17/11/2021,16/11/2022,16/11/2023
22,01002.HK,13/11/2018,08/11/2019,13/11/2020,12/11/2021,14/11/2022,10/11/2023,
23,08427.HK,10/11/2017,22/11/2018,27/11/2019,20/11/2020,30/11/2021,31/10/2022,31/08/2023
24,01221.HK,07/11/2017,20/09/2018,20/09/2019,21/09/2020,23/09/2021,22/09/2022,28/09/2023
25,00247.HK,07/11/2017,20/09/2018,20/09/2019,15/12/2020,26/11/2021,22/09/2022,28/09/2023
26,00083.HK,07/11/2017,20/09/2018,20/09/2019,15/12/2020,26/11/2021,22/09/2022,28/09/2023
27,00391.HK,31/10/2017,31/10/2018,30/10/2019,29/10/2020,29/10/2021,31/08/2022,28/07/2023
28,00070.HK,31/10/2017,29/10/2018,18/10/2019,30/10/2020,29/10/2021,30/10/2023,
29,00841.HK,31/10/2017,26/10/2018,29/10/2019,08/11/2020,28/10/2021,31/08/2022,31/07/2023
30,00638.HK,30/10/2017,25/07/2019,11/10/2019,05/10/2020,27/07/2021,20/07/2022,27/07/2023
31,01046.HK,30/10/2017,30/10/2018,29/10/2019,29/10/2020,28/10/2021,27/10/2022,27/10/2023
