,stock_code,release_date,report_year
0,00756.HK,2018-01-02,2017
1,02033.HK,2018-01-05,2017
2,01161.HK,2018-01-08,2017
3,00158.HK,2018-01-12,2017
4,02863.HK,2018-01-12,2017
5,08293.HK,2018-01-12,2017
6,00330.HK,2018-01-16,2017
7,01611.HK,2018-01-23,2017
8,00860.HK,2018-01-25,2017
9,08169.HK,2018-01-30,2017
10,00513.HK,2018-01-30,2017
11,06163.HK,2018-02-05,2017
12,08383.HK,2018-02-14,2017
13,00864.HK,2018-02-15,2017
14,01970.HK,2018-02-28,2017
15,08368.HK,2018-02-28,2017
16,06068.HK,2018-03-02,2017
17,00982.HK,2018-03-05,2017
18,00005.HK,2018-03-06,2017
19,00002.HK,2018-03-09,2017
20,01560.HK,2018-03-12,2017
21,03331.HK,2018-03-12,2017
22,00002.HK,2018-03-12,2017
23,08051.HK,2018-03-13,2017
24,02343.HK,2018-03-13,2017
25,01523.HK,2018-03-13,2017
26,00174.HK,2018-03-15,2017
27,00763.HK,2018-03-15,2017
28,00874.HK,2018-03-15,2017
29,03918.HK,2018-03-15,2017
30,01317.HK,2018-03-16,2017
31,00832.HK,2018-03-16,2017
32,02386.HK,2018-03-19,2017
33,00388.HK,2018-03-19,2017
34,00338.HK,2018-03-20,2017
35,02799.HK,2018-03-20,2017
36,01336.HK,2018-03-20,2017
37,01005.HK,2018-03-20,2017
38,02318.HK,2018-03-20,2017
39,00217.HK,2018-03-21,2017
40,06898.HK,2018-03-21,2017
41,00869.HK,2018-03-21,2017
42,00635.HK,2018-03-21,2017
43,01299.HK,2018-03-21,2017
44,00914.HK,2018-03-22,2017
45,02600.HK,2018-03-22,2017
46,00857.HK,2018-03-22,2017
47,08186.HK,2018-03-22,2017
48,01053.HK,2018-03-22,2017
49,02628.HK,2018-03-22,2017
50,00027.HK,2018-03-23,2017
51,00548.HK,2018-03-23,2017
52,01913.HK,2018-03-23,2017
53,01913.HK,2018-03-23,2017
54,02333.HK,2018-03-23,2017
55,02208.HK,2018-03-23,2017
56,03968.HK,2018-03-23,2017
57,01776.HK,2018-03-23,2017
58,08348.HK,2018-03-23,2017
59,01171.HK,2018-03-25,2017
60,00386.HK,2018-03-25,2017
61,01088.HK,2018-03-25,2017
62,08360.HK,2018-03-25,2017
63,00998.HK,2018-03-26,2017
64,06178.HK,2018-03-26,2017
65,00884.HK,2018-03-26,2017
66,00582.HK,2018-03-26,2017
67,08033.HK,2018-03-26,2017
68,01055.HK,2018-03-26,2017
69,00612.HK,2018-03-26,2017
70,01071.HK,2018-03-26,2017
71,01288.HK,2018-03-26,2017
72,08429.HK,2018-03-26,2017
73,01211.HK,2018-03-27,2017
74,08308.HK,2018-03-27,2017
75,06837.HK,2018-03-27,2017
76,00240.HK,2018-03-27,2017
77,00610.HK,2018-03-27,2017
78,08375.HK,2018-03-27,2017
79,00939.HK,2018-03-27,2017
80,01217.HK,2018-03-27,2017
81,01398.HK,2018-03-27,2017
82,00215.HK,2018-03-27,2017
83,08215.HK,2018-03-27,2017
84,00954.HK,2018-03-27,2017
85,08095.HK,2018-03-27,2017
86,01033.HK,2018-03-27,2017
87,00725.HK,2018-03-27,2017
88,08035.HK,2018-03-27,2017
89,08249.HK,2018-03-28,2017
90,08462.HK,2018-03-28,2017
91,06881.HK,2018-03-28,2017
92,08340.HK,2018-03-28,2017
93,00014.HK,2018-03-28,2017
94,00936.HK,2018-03-28,2017
95,08239.HK,2018-03-28,2017
96,00008.HK,2018-03-28,2017
97,08007.HK,2018-03-28,2017
98,08350.HK,2018-03-28,2017
99,02136.HK,2018-03-28,2017
100,08037.HK,2018-03-28,2017
101,08019.HK,2018-03-28,2017
102,08279.HK,2018-03-28,2017
103,08137.HK,2018-03-28,2017
104,08419.HK,2018-03-28,2017
105,08176.HK,2018-03-28,2017
106,08196.HK,2018-03-28,2017
107,06818.HK,2018-03-28,2017
108,06886.HK,2018-03-28,2017
109,08227.HK,2018-03-28,2017
110,01816.HK,2018-03-28,2017
111,08081.HK,2018-03-28,2017
112,00525.HK,2018-03-28,2017
113,00008.HK,2018-03-28,2017
114,08349.HK,2018-03-28,2017
115,08152.HK,2018-03-28,2017
116,08073.HK,2018-03-28,2017
117,06823.HK,2018-03-28,2017
118,06099.HK,2018-03-28,2017
119,02039.HK,2018-03-28,2017
120,02086.HK,2018-03-28,2017
121,02886.HK,2018-03-28,2017
122,08120.HK,2018-03-28,2017
123,08112.HK,2018-03-28,2017
124,08291.HK,2018-03-28,2017
125,08247.HK,2018-03-28,2017
126,01098.HK,2018-03-28,2017
127,08238.HK,2018-03-28,2017
128,08480.HK,2018-03-28,2017
129,08271.HK,2018-03-28,2017
130,08257.HK,2018-03-28,2017
131,08198.HK,2018-03-28,2017
132,06823.HK,2018-03-28,2017
133,08115.HK,2018-03-28,2017
134,08162.HK,2018-03-28,2017
135,01883.HK,2018-03-28,2017
136,08205.HK,2018-03-28,2017
137,08267.HK,2018-03-28,2017
138,08405.HK,2018-03-28,2017
139,08070.HK,2018-03-28,2017
140,08406.HK,2018-03-28,2017
141,00432.HK,2018-03-28,2017
142,00432.HK,2018-03-28,2017
143,00894.HK,2018-03-29,2017
144,08167.HK,2018-03-29,2017
145,00317.HK,2018-03-29,2017
146,01618.HK,2018-03-29,2017
147,02611.HK,2018-03-29,2017
148,08237.HK,2018-03-29,2017
149,01575.HK,2018-03-29,2017
150,00045.HK,2018-03-29,2017
151,00045.HK,2018-03-29,2017
152,01786.HK,2018-03-29,2017
153,01988.HK,2018-03-29,2017
154,00107.HK,2018-03-29,2017
155,03958.HK,2018-03-29,2017
156,00921.HK,2018-03-29,2017
157,00991.HK,2018-03-29,2017
158,03328.HK,2018-03-29,2017
159,08018.HK,2018-03-29,2017
160,08362.HK,2018-03-29,2017
161,08148.HK,2018-03-29,2017
162,08370.HK,2018-03-29,2017
163,08377.HK,2018-03-29,2017
164,08147.HK,2018-03-29,2017
165,08385.HK,2018-03-29,2017
166,08133.HK,2018-03-29,2017
167,08519.HK,2018-03-29,2017
168,00194.HK,2018-03-29,2017
169,03988.HK,2018-03-29,2017
170,00799.HK,2018-03-29,2017
171,00576.HK,2018-03-29,2017
172,08123.HK,2018-03-29,2017
173,08363.HK,2018-03-29,2017
174,03908.HK,2018-04-02,2017
175,08030.HK,2018-04-02,2017
176,00006.HK,2018-04-03,2017
177,02638.HK,2018-04-03,2017
178,00293.HK,2018-04-03,2017
179,01456.HK,2018-04-03,2017
180,00531.HK,2018-04-03,2017
181,02638.HK,2018-04-03,2017
182,00329.HK,2018-04-04,2017
183,01972.HK,2018-04-04,2017
184,02203.HK,2018-04-04,2017
185,01972.HK,2018-04-04,2017
186,02383.HK,2018-04-04,2017
187,01038.HK,2018-04-04,2017
188,00036.HK,2018-04-04,2017
189,02638.HK,2018-04-06,2017
190,00887.HK,2018-04-06,2017
191,00352.HK,2018-04-06,2017
192,01007.HK,2018-04-06,2017
193,00232.HK,2018-04-06,2017
194,00006.HK,2018-04-06,2017
195,00632.HK,2018-04-06,2017
196,00001.HK,2018-04-06,2017
197,01113.HK,2018-04-06,2017
198,03389.HK,2018-04-06,2017
199,02638.HK,2018-04-06,2017
200,01396.HK,2018-04-06,2017
