file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
6918.HK,5,10,73,9,5,6,10,0,0,0,0,0,0,4,10,0,9,5,5,47,32,53,06918.pdf,100
6889.HK,16,15,76,20,5,5,6,0,1,0,0,4,1,6,8,0,28,21,5,68,49,38,06889.pdf,100
8053.HK,8,14,71,13,9,11,14,2,4,0,0,0,4,10,11,2,12,11,9,51,41,53,08053.pdf,100
8609.HK,7,14,70,12,8,6,16,2,1,0,0,0,1,6,12,2,13,12,8,46,39,58,08609.pdf,100
8315.HK,4,11,72,9,5,6,7,0,0,0,0,0,0,5,5,0,15,8,5,40,29,61,08315.pdf,100
8545.HK,6,10,75,9,4,4,6,0,1,0,0,0,1,6,6,0,10,6,4,53,44,53,08545.pdf,100
8401.HK,7,15,68,12,7,4,9,2,1,0,0,4,1,10,10,2,20,10,7,41,37,63,08401.pdf,100
0767.HK,5,8,76,7,4,2,6,0,3,0,0,0,3,6,5,0,12,6,4,47,43,59,00767.pdf,100
8080.HK,11,17,70,20,9,10,14,4,6,0,0,0,6,9,9,4,18,12,9,58,33,41,08080.pdf,100
1243.HK,11,12,76,19,8,8,8,2,0,0,0,0,0,7,11,2,19,12,8,67,35,32,01243.pdf,100
1616.HK,7,17,66,16,6,7,10,2,0,33,33,0,0,8,11,2,18,11,6,47,28,52,01616.pdf,100
8036.HK,5,12,71,9,4,3,8,2,0,0,0,0,0,6,6,2,13,9,4,39,35,65,08036.pdf,100
0823.HK,41,47,55,49,25,38,54,38,8,0,0,9,8,17,12,38,25,38,25,61,52,48,00823.pdf,100
1929.HK,20,25,67,36,8,4,22,19,4,0,0,4,4,7,9,19,16,29,8,65,34,34,01929.pdf,100
0396.HK,3,5,79,5,2,2,5,2,1,0,0,0,1,2,4,2,6,5,2,53,39,50,00396.pdf,100
2183.HK,9,15,71,20,9,11,13,3,25,0,0,4,25,7,11,3,14,15,9,59,29,38,02183.pdf,100
0542.HK,4,8,76,7,5,4,6,1,0,0,0,0,0,3,8,1,9,6,5,48,37,55,00542.pdf,100
0303.HK,43,47,57,53,28,27,52,26,29,0,0,4,29,17,29,26,44,49,28,63,51,44,00303.pdf,100
1676.HK,5,11,73,11,6,2,8,3,0,0,0,0,0,13,10,3,13,8,6,49,31,50,01676.pdf,100
8623.HK,10,18,66,15,10,5,13,2,0,0,0,0,0,9,17,2,18,12,10,45,42,61,08623.pdf,100
1801.HK,35,31,72,41,14,9,15,4,6,0,0,4,6,19,28,4,44,35,14,70,53,38,01801.pdf,100
0757.HK,3,7,76,8,4,4,8,1,0,0,0,4,0,2,7,1,7,5,4,50,27,47,00757.pdf,100
9608.HK,14,17,72,20,6,6,10,1,3,0,0,4,3,9,14,1,36,24,6,61,44,44,09608.pdf,100
1210.HK,14,19,69,26,9,8,20,8,4,0,0,4,4,9,17,8,21,18,9,62,35,37,01210.pdf,100
0142.HK,12,22,63,29,12,13,20,12,3,0,0,9,3,19,15,12,13,23,12,57,27,39,00142.pdf,100
1753.HK,12,19,68,16,8,12,10,6,1,0,0,0,1,8,9,6,22,13,8,51,47,57,01753.pdf,100
0330.HK,18,21,70,24,9,4,15,4,1,0,0,0,1,20,10,4,14,17,9,62,47,43,00330.pdf,100
1381.HK,26,38,53,40,21,17,38,13,4,0,0,0,4,31,31,13,28,32,21,56,41,48,01381.pdf,100
0608.HK,18,14,80,17,9,10,16,6,20,0,0,0,20,9,12,6,15,17,9,71,65,42,00608.pdf,100
8391.HK,7,11,75,10,9,9,12,4,0,33,33,0,0,6,8,4,14,8,9,53,46,53,08391.pdf,100
3666.HK,12,24,60,21,12,10,13,4,3,0,0,0,3,18,25,4,34,18,12,46,35,57,03666.pdf,100
6855.HK,25,36,56,32,18,17,24,2,9,0,0,0,9,19,37,2,31,36,18,53,49,56,06855.pdf,100
8305.HK,6,8,77,8,6,2,9,0,1,0,0,4,1,5,8,0,11,6,6,53,44,52,08305.pdf,100
2728.HK,5,10,73,9,5,4,9,4,0,0,0,0,0,6,9,4,15,8,5,46,33,55,02728.pdf,100
1282.HK,18,21,70,28,9,14,13,6,6,0,0,0,6,14,19,6,26,19,9,64,41,38,01282.pdf,100
