file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
2017_02236.pdf,17,17,76,21,6,10,10,6,1,0,0,0,1,12,14,6,27,24,6,68,50,39,02236.pdf,44
2017_02166.pdf,1,2,82,4,0,1,1,0,6,0,0,0,6,3,2,0,4,2,0,66,26,28,02166.pdf,44
2017_00438.pdf,3,3,81,3,1,0,2,0,0,0,0,0,0,1,3,0,6,3,1,61,54,48,00438.pdf,44
2017_00690.pdf,4,7,76,6,3,0,5,1,1,0,0,0,1,6,7,1,9,7,3,45,39,59,00690.pdf,44
2017_00405.pdf,19,22,70,24,11,9,13,5,32,66,66,0,32,17,17,5,17,24,11,61,49,46,00405.pdf,44
2017_00152.pdf,3,5,79,6,1,0,3,1,0,0,0,0,0,4,5,1,7,5,1,54,39,49,00152.pdf,44
2017_00293.pdf,54,32,89,47,21,19,41,24,33,0,0,0,33,19,18,24,32,42,21,81,71,34,00293.pdf,44
2017_01608.pdf,5,9,75,9,5,1,4,1,4,0,0,0,4,4,7,1,10,11,5,53,32,46,01608.pdf,44
2017_00950.pdf,1,2,81,2,1,0,1,1,3,0,0,0,3,1,2,1,2,1,1,41,38,64,00950.pdf,44
2017_03828.pdf,4,5,81,8,5,2,5,2,3,0,0,0,3,13,7,2,8,7,5,67,35,31,03828.pdf,44
2017_06816.pdf,0,1,82,1,1,0,1,0,1,0,0,0,1,2,2,0,3,1,1,55,25,40,06816.pdf,44
2017_00467.pdf,1,2,82,2,0,0,1,0,0,0,0,0,0,1,2,0,3,3,0,63,41,40,00467.pdf,44
2017_00171.pdf,5,11,73,16,4,4,5,1,1,0,0,0,1,16,9,1,12,13,4,59,22,34,00171.pdf,44
2017_00694.pdf,24,17,83,23,6,9,11,5,1,0,0,0,1,9,25,5,24,22,6,77,65,36,00694.pdf,44
2017_00019.pdf,1,4,79,4,2,3,2,0,0,0,0,0,0,1,4,0,3,4,2,47,19,46,00019.pdf,44
2017_00732.pdf,1,2,82,2,1,0,1,2,0,0,0,0,0,0,2,2,2,2,1,66,42,37,00732.pdf,44
2017_02128.pdf,22,16,81,29,8,3,9,8,12,0,0,14,12,6,17,8,24,21,8,76,47,28,02128.pdf,44
2017_02014.pdf,9,10,78,11,4,2,6,2,6,0,0,9,6,9,10,2,15,12,4,64,48,42,02014.pdf,44
2017_00611.pdf,3,5,79,6,4,3,5,1,0,33,33,0,0,6,7,1,7,5,4,57,39,46,00611.pdf,44
2017_00363.pdf,5,5,81,7,4,3,5,2,1,0,0,0,1,7,6,2,9,8,4,69,44,34,00363.pdf,44
2017_00137.pdf,2,2,82,2,2,0,3,0,0,0,0,4,0,0,3,0,1,2,2,65,54,44,00137.pdf,44
2017_01476.pdf,9,8,80,11,3,1,2,1,3,0,0,23,3,11,3,1,18,11,3,69,50,37,01476.pdf,44
2017_00242.pdf,16,14,78,27,6,4,10,9,17,0,0,0,17,13,9,9,20,26,6,72,38,27,00242.pdf,44
2017_00578.pdf,1,3,80,3,1,1,1,0,0,0,0,0,0,0,5,0,3,2,1,49,27,48,00578.pdf,44
2017_00423.pdf,2,2,83,3,1,1,2,0,3,0,0,0,3,2,1,0,3,2,1,75,55,33,00423.pdf,44
2017_01585.pdf,8,8,80,10,2,7,4,1,11,0,0,0,11,5,6,1,10,10,2,69,50,38,01585.pdf,44
2017_03678.pdf,16,13,81,23,8,0,1,3,0,0,0,9,0,7,3,3,28,17,8,74,43,27,03678.pdf,44
2017_08195.pdf,2,3,81,3,1,0,2,0,3,0,0,0,3,2,1,0,3,3,1,57,42,48,08195.pdf,44
2017_01240.pdf,4,5,79,6,3,1,3,2,0,0,0,4,0,3,6,2,7,6,3,58,42,46,01240.pdf,44
2017_03996.pdf,4,5,79,6,3,0,5,3,11,0,0,0,11,2,9,3,7,5,3,59,38,42,03996.pdf,44
2017_00665.pdf,5,7,78,8,5,5,4,2,6,0,0,0,6,6,4,2,12,7,5,56,43,49,00665.pdf,44
2017_03866.pdf,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,03866.pdf,44
2017_01738.pdf,2,4,79,4,3,1,4,1,1,0,0,0,1,4,7,1,7,4,3,49,34,52,01738.pdf,44
2017_00560.pdf,6,6,80,6,2,3,4,2,1,0,0,4,1,2,4,2,12,6,2,63,56,47,00560.pdf,44
2017_01213.pdf,2,4,80,3,2,1,2,1,1,0,0,0,1,2,3,1,6,3,2,45,35,58,01213.pdf,44
2017_00353.pdf,3,4,81,5,2,0,2,2,1,0,0,0,1,6,4,2,7,5,2,65,39,36,00353.pdf,44
2017_03399.pdf,10,9,80,15,5,7,8,0,11,0,0,4,11,6,9,0,13,11,5,71,42,30,03399.pdf,44
2017_00396.pdf,1,2,82,2,1,1,2,0,1,0,0,0,1,1,2,0,2,2,1,64,41,39,00396.pdf,44
2017_00274.pdf,2,4,79,4,1,1,2,0,0,0,0,0,0,6,7,0,7,5,1,51,31,48,00274.pdf,44
2017_02016.pdf,6,7,78,9,2,1,2,0,14,0,0,4,14,5,2,0,13,9,2,61,38,40,02016.pdf,44
2017_01185.pdf,6,3,84,5,2,2,2,0,1,0,0,0,1,4,7,0,5,4,2,80,76,38,01185.pdf,44
2017_08425.pdf,4,4,81,3,2,1,2,0,1,0,0,0,1,4,4,0,4,3,2,62,72,57,08425.pdf,44
2017_00334.pdf,11,11,77,12,4,0,4,3,1,0,0,0,1,12,16,3,16,14,4,63,55,47,00334.pdf,44
2017_08191.pdf,2,2,82,3,0,0,2,0,4,0,0,0,4,5,2,0,6,3,0,66,50,41,08191.pdf,44
2017_08175.pdf,3,5,80,5,5,5,6,1,4,0,0,4,4,4,7,1,8,6,5,55,43,50,08175.pdf,44
2017_00489.pdf,20,21,72,27,10,12,12,4,8,0,0,0,8,13,19,4,22,23,10,65,47,40,00489.pdf,44
2017_08128.pdf,4,2,84,4,1,1,2,0,0,0,0,0,0,3,5,0,8,4,1,83,66,29,08128.pdf,44
2017_01112.pdf,9,9,79,13,5,3,5,2,3,0,0,9,3,13,7,2,14,15,5,67,42,35,01112.pdf,44
2017_08100.pdf,3,3,81,4,2,0,1,0,4,0,0,4,4,4,5,0,7,4,2,65,46,39,08100.pdf,44
2017_00245.pdf,2,6,77,4,3,1,4,1,4,0,0,0,4,5,4,1,6,5,3,37,36,68,00245.pdf,44
2017_01446.pdf,7,7,79,10,6,4,8,3,6,0,0,0,6,4,7,3,11,10,6,66,40,36,01446.pdf,44
2017_08270.pdf,0,1,82,2,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,55,23,39,08270.pdf,44
2017_00687.pdf,3,8,76,7,5,3,7,0,0,0,0,0,0,2,7,0,7,6,5,45,34,57,00687.pdf,44
2017_01303.pdf,4,6,79,6,4,2,4,2,1,0,0,0,1,5,6,2,9,6,4,55,43,50,01303.pdf,44
2017_00691.pdf,2,3,80,4,2,0,3,1,0,0,0,0,0,4,5,1,3,4,2,57,32,42,00691.pdf,44
