stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
01765.HK,NA,NA,NA,NA,NA,30/12/2022,NA
08365.HK,NA,NA,NA,NA,29/12/2022,NA,NA
01565.HK,NA,NA,NA,NA,NA,29/12/2022,NA
02001.HK,NA,NA,NA,NA,NA,29/12/2022,NA
08168.HK,NA,NA,NA,NA,NA,29/12/2022,NA
01593.HK,NA,NA,NA,NA,NA,29/12/2022,NA
08451.HK,NA,NA,NA,NA,NA,28/12/2022,NA
01969.HK,NA,NA,NA,NA,NA,28/12/2022,NA
00362.HK,NA,NA,NA,NA,NA,22/12/2022,NA
00839.HK,NA,NA,NA,NA,22/12/2022,NA,NA
02102.HK,NA,NA,NA,NA,NA,21/12/2022,NA
01756.HK,NA,NA,NA,NA,NA,20/12/2022,NA
01773.HK,NA,NA,NA,NA,NA,07/12/2022,NA
01495.HK,NA,NA,NA,NA,30/11/2022,NA,NA
01758.HK,NA,NA,NA,NA,30/11/2022,NA,NA
00315.HK,NA,NA,NA,NA,30/11/2022,NA,NA
00943.HK,NA,NA,NA,NA,NA,30/11/2022,NA
02033.HK,NA,NA,NA,NA,NA,30/11/2022,NA
00513.HK,NA,NA,NA,NA,NA,30/11/2022,NA
00197.HK,NA,NA,NA,NA,30/11/2022,NA,NA
00862.HK,NA,NA,NA,NA,NA,30/11/2022,NA
02309.HK,NA,NA,NA,NA,NA,29/11/2022,NA
00193.HK,NA,NA,NA,NA,NA,29/11/2022,NA
00331.HK,NA,NA,NA,NA,29/11/2022,NA,NA
08013.HK,NA,NA,NA,NA,NA,29/11/2022,NA
01116.HK,NA,NA,NA,NA,NA,28/11/2022,NA
00092.HK,NA,NA,NA,NA,NA,28/11/2022,NA
01059.HK,NA,NA,NA,NA,NA,28/11/2022,NA
00660.HK,NA,NA,NA,NA,28/11/2022,NA,NA
08422.HK,NA,NA,NA,NA,25/11/2022,NA,NA
02882.HK,NA,NA,NA,NA,NA,25/11/2022,NA
01130.HK,NA,NA,NA,NA,NA,18/11/2022,NA
00191.HK,NA,NA,NA,NA,NA,16/11/2022,NA
01125.HK,NA,NA,NA,NA,NA,16/11/2022,NA
00488.HK,NA,NA,NA,NA,NA,16/11/2022,NA
40782.HK,NA,NA,NA,NA,NA,16/11/2022,NA
00571.HK,NA,NA,NA,NA,NA,16/11/2022,NA
02138.HK,NA,NA,NA,NA,NA,16/11/2022,NA
00333.HK,NA,NA,NA,NA,NA,15/11/2022,NA
01002.HK,NA,NA,NA,NA,14/11/2022,NA,NA
00033.HK,NA,NA,NA,NA,NA,11/11/2022,NA
01310.HK,NA,NA,NA,NA,NA,10/11/2022,NA
00122.HK,NA,NA,NA,NA,03/11/2022,NA,NA
01775.HK,NA,NA,NA,NA,NA,03/11/2022,NA
01004.HK,NA,NA,NA,NA,02/11/2022,NA,NA
01960.HK,NA,NA,NA,NA,NA,31/10/2022,NA
08427.HK,NA,NA,NA,NA,NA,31/10/2022,NA
00070.HK,NA,NA,NA,NA,NA,31/10/2022,NA
06836.HK,NA,NA,NA,NA,28/10/2022,NA,NA
00721.HK,NA,NA,NA,NA,NA,28/10/2022,NA
00053.HK,NA,NA,NA,NA,NA,28/10/2022,NA
00565.HK,NA,NA,NA,NA,NA,28/10/2022,NA
01849.HK,NA,NA,NA,NA,NA,28/10/2022,NA
01726.HK,NA,NA,NA,NA,NA,28/10/2022,NA
01419.HK,NA,NA,NA,NA,NA,28/10/2022,NA
01370.HK,NA,NA,NA,NA,28/10/2022,NA,NA
00519.HK,NA,NA,NA,NA,NA,27/10/2022,NA
00029.HK,NA,NA,NA,NA,27/10/2022,NA,NA
01079.HK,NA,NA,NA,NA,NA,27/10/2022,NA
01046.HK,NA,NA,NA,NA,NA,27/10/2022,NA
01166.HK,NA,NA,NA,NA,NA,27/10/2022,NA
01975.HK,NA,NA,NA,NA,27/10/2022,NA,NA
00559.HK,NA,NA,NA,NA,NA,27/10/2022,NA
01195.HK,NA,NA,NA,NA,NA,27/10/2022,NA
03893.HK,NA,NA,NA,NA,NA,27/10/2022,NA
00495.HK,NA,NA,NA,NA,NA,27/10/2022,NA
01082.HK,NA,NA,NA,NA,NA,27/10/2022,NA
00825.HK,NA,NA,NA,NA,NA,26/10/2022,NA
03626.HK,NA,NA,NA,NA,NA,26/10/2022,NA
01104.HK,NA,NA,NA,NA,NA,26/10/2022,NA
01326.HK,NA,NA,NA,NA,26/10/2022,NA,NA
01752.HK,NA,NA,NA,NA,NA,25/10/2022,NA
00017.HK,NA,NA,NA,NA,NA,25/10/2022,NA
00722.HK,NA,NA,NA,NA,NA,25/10/2022,NA
00183.HK,NA,NA,NA,NA,NA,25/10/2022,NA
00591.HK,NA,NA,NA,NA,NA,25/10/2022,NA
00979.HK,NA,NA,NA,NA,24/10/2022,NA,NA
02293.HK,NA,NA,NA,NA,NA,24/10/2022,NA
01009.HK,NA,NA,NA,NA,24/10/2022,NA,NA
00188.HK,NA,NA,NA,NA,NA,21/10/2022,NA
00924.HK,NA,NA,NA,NA,NA,21/10/2022,NA
09998.HK,NA,NA,NA,NA,NA,21/10/2022,NA
02211.HK,NA,NA,NA,NA,20/10/2022,NA,NA
01023.HK,NA,NA,NA,NA,NA,20/10/2022,NA
00682.HK,NA,NA,NA,20/10/2022,NA,NA,NA
01360.HK,NA,NA,NA,NA,20/10/2022,NA,NA
