stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
0016.HK,NA,NA,NA,NA,NA,NA,NA
0315.HK,NA,NA,NA,NA,NA,NA,NA
1079.HK,22/12/2017,NA,NA,NA,NA,NA,NA
0717.HK,21/12/2017,NA,NA,NA,NA,NA,NA
0659.HK,21/12/2017,NA,NA,NA,NA,NA,NA
6169.HK,20/12/2017,NA,NA,NA,NA,NA,NA
0825.HK,20/12/2017,NA,NA,NA,NA,NA,NA
3998.HK,20/12/2017,NA,NA,NA,NA,NA,NA
0225.HK,12/12/2017,NA,NA,NA,NA,NA,NA
2309.HK,05/12/2017,NA,NA,NA,NA,NA,NA
8013.HK,01/12/2017,NA,NA,NA,NA,NA,NA
0333.HK,30/11/2017,NA,NA,NA,NA,NA,NA
0331.HK,27/11/2017,NA,NA,NA,NA,NA,NA
8093.HK,27/11/2017,NA,NA,NA,NA,NA,NA
0862.HK,27/11/2017,NA,NA,NA,NA,NA,NA
2698.HK,NA,NA,NA,NA,NA,NA,NA
0737.HK,NA,NA,NA,NA,NA,NA,NA
0122.HK,16/11/2017,NA,NA,NA,NA,NA,NA
0488.HK,15/11/2017,NA,NA,NA,NA,NA,NA
0191.HK,15/11/2017,NA,NA,NA,NA,NA,NA
0571.HK,15/11/2017,NA,NA,NA,NA,NA,NA
1125.HK,15/11/2017,NA,NA,NA,NA,NA,NA
1002.HK,NA,NA,NA,NA,NA,NA,NA
8427.HK,10/11/2017,NA,NA,NA,NA,NA,NA
1221.HK,07/11/2017,NA,NA,NA,NA,NA,NA
0247.HK,07/11/2017,NA,NA,NA,NA,NA,NA
0083.HK,07/11/2017,NA,NA,NA,NA,NA,NA
0391.HK,31/10/2017,NA,NA,NA,NA,NA,NA
0070.HK,31/10/2017,NA,NA,NA,NA,NA,NA
0841.HK,31/10/2017,NA,NA,NA,NA,NA,NA
0638.HK,30/10/2017,NA,NA,NA,NA,NA,NA
1046.HK,30/10/2017,NA,NA,NA,NA,NA,NA
0197.HK,30/10/2017,NA,NA,NA,NA,NA,NA
1059.HK,30/10/2017,NA,NA,NA,NA,NA,NA
0092.HK,30/10/2017,NA,NA,NA,NA,NA,NA
1229.HK,NA,NA,NA,NA,NA,NA,NA
1315.HK,30/10/2017,NA,NA,NA,NA,NA,NA
0475.HK,NA,NA,NA,NA,NA,NA,NA
1566.HK,27/10/2017,NA,NA,NA,NA,NA,NA
0721.HK,27/10/2017,NA,NA,NA,NA,NA,NA
0559.HK,27/10/2017,NA,NA,NA,NA,NA,NA
0226.HK,27/10/2017,NA,NA,NA,NA,NA,NA
0156.HK,27/10/2017,NA,NA,NA,NA,NA,NA
1348.HK,27/10/2017,NA,NA,NA,NA,NA,NA
0655.HK,27/10/2017,NA,NA,NA,NA,NA,NA
0029.HK,27/10/2017,NA,NA,NA,NA,NA,NA
1195.HK,27/10/2017,NA,NA,NA,NA,NA,NA
0495.HK,27/10/2017,NA,NA,NA,NA,NA,NA
1419.HK,27/10/2017,NA,NA,NA,NA,NA,NA
0412.HK,26/10/2017,NA,NA,NA,NA,NA,NA
0375.HK,NA,NA,NA,NA,NA,NA,NA
0294.HK,26/10/2017,NA,NA,NA,NA,NA,NA
0259.HK,NA,NA,NA,NA,NA,NA,NA
0216.HK,NA,NA,NA,NA,NA,NA,NA
0160.HK,NA,NA,NA,NA,NA,NA,NA
0362.HK,26/10/2017,NA,NA,NA,NA,NA,NA
3893.HK,26/10/2017,NA,NA,NA,NA,NA,NA
0627.HK,NA,NA,NA,NA,NA,NA,NA
1443.HK,25/10/2017,NA,NA,NA,NA,NA,NA
8021.HK,25/10/2017,NA,NA,NA,NA,NA,NA
3626.HK,25/10/2017,NA,NA,NA,NA,NA,NA
0040.HK,25/10/2017,NA,NA,NA,NA,NA,NA
1166.HK,25/10/2017,NA,NA,NA,NA,NA,NA
